,Model,ClockSpeed,BoostClockSpeed,Cores,Threads,Socket,TDP,ReleaseDate
624,6176,2.3GHz,,12.0,12.0,G34,115W,
625,6166 HE,1.8GHz,,12.0,12.0,G34,85W,
626,6140,2.6GHz,,8.0,8.0,G34,115W,
627,6132 HE,2.2GHz,,8.0,8.0,G34,85W,
628,E2-7110 with Radeon R2 Graphics,1.8GHz,Up to 1.8GHz,4.0,4.0,FP4,65W,
629,4386,3.1GHz,Up to 3.8GHz,8.0,8.0,C32,95W,
630,4376 HE,2.6GHz,Up to 3.6GHz,8.0,8.0,C32,65W,
631,4365,2.0GHz,Up to 2.8GHz,8.0,8.0,C32,40W,
632,4340,3.5GHz,Up to 3.8GHz,6.0,6.0,C32,95W,
633,4334,3.1GHz,Up to 3.5GHz,6.0,6.0,C32,95W,
634,E1-7010 with Radeon R2 Graphics,1.5GHz,Up to 1.5GHz,2.0,2.0,FP4,10W,
635,4332 HE,3.0GHz,Up to 3.7GHz,6.0,6.0,C32,65W,
636,E1 Micro-6200T with Radeon R2 Graphics,1.4GHz,,2.0,2.0,FT3b,3.95W,
637,4310 EE,2.2GHz,Up to 3.0GHz,6.0,6.0,C32,35W,
638,4284,3.0GHz,Up to 3.7GHz,8.0,8.0,C32,95W,
639,4280,2.8GHz,Up to 2.2GHz,8.0,8.0,C32,95W,
640,E1-6010 with Radeon R2 Graphics,1.35GHz,,2.0,2.0,FT3b,10W,
641,4276 HE,2.6GHz,Up to 3.6GHz,8.0,8.0,C32,65W,
642,E1-2500 with Radeon HD 8240,1.4GHz,,2.0,2.0,FT3,15W,
643,4274 HE,2.5GHz,Up to 3.5GHz,8.0,8.0,C32,65W,
644,E1-2200 with Radeon HD 8210,1.0GHz,,2.0,2.0,FT3,9W,
645,E1-2100 with Radeon HD 8210,1.0GHz,,2.0,2.0,FT3,9W,
646,4256 EE,1.6GHz,Up to 2.8GHz,8.0,8.0,C32,35W,
647,4240,3.4GHz,Up to 3.8GHz,6.0,6.0,C32,95W,
648,4238,3.3GHz,Up to 3.7GHz,6.0,6.0,C32,95W,
649,4234,3.1GHz,Up to 3.5GHz,6.0,6.0,C32,95W,
650,E1-7010 with Radeon R2 Graphics,1.5GHz,Up to 1.5GHz,2.0,2.0,FP4,,
651,4230 HE,2.9GHz,Up to 3.7GHz,6.0,6.0,C32,65W,
652,4228 HE,2.8GHz,Up to 3.6GHz,6.0,6.0,C32,65W,
653,4226,2.7GHz,Up to 3.1GHz,6.0,6.0,C32,95W,
654,3380,2.6GHz,Up to 3.6GHz,8.0,8.0,AM3+,65W,
655,3365,2.3GHz,Up to 3.3GHz,8.0,8.0,AM3+,65W,
656,3350 HE,2.8GHz,Up to 3.8GHz,4.0,4.0,AM3+,45W,
657,3320 EE,1.9GHz,Up to 2.5GHz,4.0,4.0,AM3+,25W,
658,3280,2.4GHz,Up to 3.4GHz,8.0,8.0,AM3+,65W,
659,3260 HE,2.7GHz,Up to 3.7GHz,4.0,4.0,AM3+,45W,
660,AMD Opteron X2170,2.4GHz,,4.0,4.0,FT3,25W,
661,3250 HE,2.5GHz,Up to 3.5GHz,0.0,0.0,AM3+,45W,
662,AMD Opteron X2150 APU,1.9GHz,,4.0,4.0,FT3,22W,
663,TL-64,2.2GHz,,2.0,2.0,S1,35W,
664,TL-60,2.0GHz,,2.0,2.0,S1,31W,
665,TL-56,1.8GHz,,0.0,0.0,S1,31W,
666,TL-52,1.6GHz,,2.0,2.0,S1,31W,
