,Model,ClockSpeed,BoostClockSpeed,Cores,Threads,Socket,TDP,ReleaseDate
273,AMD Ryzen 5 PRO 1600,3.2GHz,Up to 3.6GHz,6.0,12.0,AM4,65W,06/29/2017
274,AMD Athlon PRO 300U Mobile Processor with Radeon Vega 3 Graphics,2.4GHz,Up to 3.3GHz,2.0,4.0,FP5,15W,
275,AMD Ryzen 7 PRO 2700U,2.2GHz,Up to 3.8GHz,4.0,8.0,FP5,15W,Q1 2019
276,AMD Ryzen 5 PRO 1500,3.5GHz,Up to 3.7GHz,4.0,8.0,AM4,65W,06/29/2017
277,AMD Ryzen 5 PRO 2400G with Radeon Vega 11 Graphics,3.6GHz,Up to 3.9GHz,4.0,8.0,AM4,65W,5/10/2018
278,AMD Ryzen 5 PRO 2400GE with Radeon Vega 11 Graphics,3.2GHz,Up to 3.8GHz,4.0,8.0,AM4,35W,5/10/2018
279,AMD Ryzen 3 PRO 1300,3.5GHz,Up to 3.7GHz,4.0,4.0,AM4,65W,06/29/2017
280,AMD Ryzen 5 PRO 2500U,2.0GHz,Up to 3.6GHz,4.0,8.0,FP5,15W,Q1 2019
281,AMD Ryzen 3 PRO 2200G with Radeon Vega 8 Graphics,3.5GHz,Up to 3.7GHz,4.0,4.0,AM4,65W,5/10/2018
282,AMD Ryzen 3 PRO 2200GE with Radeon Vega 8 Graphics,3.2GHz,Up to 3.6GHz,4.0,4.0,AM4,35W,5/10/2018
283,AMD Ryzen 3 PRO 1200,3.1GHz,Up to 3.4GHz,4.0,4.0,AM4,65W,06/29/2017
284,AMD Ryzen 3 PRO 2300U,2.0GHz,Up to 3.4GHz,4.0,4.0,FP5,15W,Q1 2019
285,7th Gen AMD PRO A4-5350B APU,3.0GHz,Up to 3.6GHz,2.0,0.0,,15W,Q1 2020
286,7th Gen AMD PRO A4-4350B APU,2.5GHz,Up to 2.9GHz,2.0,0.0,,15W,Q1 2018
287,7th Gen AMD PRO A6-8350B APU,3.1GHz,Up to 3.7GHz,2.0,0.0,,15W,Q1 2020
288,7th Gen AMD PRO A6-7350B APU,3.0GHz,Up to 3.6GHz,2.0,0.0,,15W,Q1 2018
289,7th Gen A12-9800 APU,3.8GHz,Up to 4.2GHz,4.0,0.0,AM4,65W,"Channel: 7/27/2017, OEM: 9/5/2016"
290,7th Gen A12-9800E APU,3.1GHz,Up to 3.8GHz,4.0,0.0,AM4,35W,9/5/2016
291,7th Gen A10-9700 APU,3.5GHz,Up to 3.8GHz,4.0,0.0,AM4,65W,"Channel: 7/27/2017, OEM: 9/5/2016"
292,7th Gen A10-9700E APU,3.0GHz,Up to 3.5GHz,4.0,0.0,AM4,35W,9/5/2016
293,7th Gen A8-9600 APU,3.1GHz,Up to 3.4GHz,4.0,0.0,AM4,65W,"Channel: 7/27/2017, OEM: 9/5/2016"
294,7th Gen A6-9550 APU,3.8GHz,Up to 4.0GHz,2.0,0.0,AM4,65W,7/27/2017
295,7th Gen A6-9500 APU,3.5GHz,Up to 3.8GHz,2.0,0.0,AM4,65W,"Channel: 7/27/2017, OEM: 9/5/2016"
296,7th Gen A6-9500E APU,3.0GHz,Up to 3.4GHz,2.0,0.0,AM4,35W,"Channel: 7/27/2017, OEM: 9/5/2016"
297,7th Gen A12-9730P APU,2.8GHz,Up to 3.5GHz,4.0,0.0,FP4,35W,Q216
298,7th Gen A12-9700P APU,2.5GHz,Up to 3.4GHz,4.0,0.0,FP4,15W,Q216
299,AMD EPYC 9754,2.25GHz,Up to 3.1GHz,128.0,256.0,SP5,360W,
300,7th Gen A10-9630P APU,2.6GHz,Up to 3.3GHz,4.0,0.0,FP4,35W,Q216
301,AMD EPYC 9754S,2.25GHz,Up to 3.1GHz,128.0,128.0,SP5,360W,
302,7th Gen A10-9600P APU,2.4GHz,Up to 3.3GHz,4.0,0.0,FP4,15W,Q216
303,AMD EPYC 9734,2.2GHz,Up to 3.0GHz,112.0,224.0,SP5,340W,
304,7th Gen A9-9425 APU,3.1GHz,Up to 3.7GHz,2.0,0.0,,15W,2Q18
